,text,polarity
60,I didn't have much trouble duplicating his hand waving even though I hadn't paid much attention.,positive
61,Why the smell of a man's armpit is a turn-on,negative
62,Denise Gamino writes for the Austin (Texas) American-Statesman.,neutral
63,Opposite the Macau Ferry Terminal you’ll find the Western Market (open 10am–7pm).,positive
64,"It also appears in stir-frys, especially those based on pork.",neutral
65,She nodded and he took her arm.,positive
66,"Hey, Roy?",positive
67,"The creature blocking my vision moved back, but I had seen all that I needed to see.",positive
68,"Please, walk this way.”",neutral
69,"Indonesia may sell, not give, bird flu virus to scientists",negative
70,I get up and come down here at 6 a.m.,positive
71,"""essentially finished,""",positive
72,It was rebuilt from shell to finish by his first class and was included in the district's millennium celebrations.,neutral
73,Isis closed her eyes and lifted her hands.,neutral
74,"You're liable to see families picnicking, bums gathering bottles and cans, geese foraging, and deer cautiously wandering the edge of the woods.",positive
75,"Ever since the 1920s, their science has been about observation of behavior, questionnaires, recordings of electrical brain activity.",neutral
76,"""Relax,"" I said.",negative
77,Lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation.,neutral
78,"P.S. On behalf of everyone here at the National Audubon Society, we look forward to saying, “Welcome back!”",positive
79,"""People will read such stories; they are worth publishing.""",positive
80,4) The Kayla Rolland case.,neutral
81,"Common behaviors will include a forward cruise and turning mechanism, procedures to determine the orientation towards nest and the distance from the nest when outside, in-nest navigation, an escape function for when objects are detected or bumped into, object identification and gripping, a generic algorithm for pheromone plume and chemical trail following, and the identification of other ants.",neutral
82,You undoubtedly write much better and could have a real serious article with awesome non-blurry pictures taken by a person who actually can get the timer to work for a goddamn change.,negative
83,"For the animals, Fred ORegan President",positive
84,Turns out he had been a brilliant biology student before losing derferment and going to Vietnam.,negative
85,They led the Yankees for most of the first three months of the season but then slipped behind them in the American League East.,negative
86,"Every day, the ASPCA gets reports of animal cruelty, abuse, and neglect.",negative
87,And it will be a major setback for wolves nationwide — at a time when the American public overwhelmingly favors wolf reintroduction and protection.,negative
88,Many Hong Kong residents and visitors take the express train to Guangzhou to play at the Guangzhou Luhu Golf and Country Club (Tel. 2317 1933 in Hong Kong or 020-8350 7777).,positive
89,"But for Mitch that only added to its appeal, because he now had the opportunity to renovate it with solar heating, solar electricity and low-cost, high-efficiency appliances.",positive
90,"That's simply good strategy, said James Leape, deputy director of the conservation program for the David and Lucile Packard Foundation in Los Altos, Calif.",positive
91,"In the same vein, Gras is tweaking her salade nicoise, and Jeanminette is adapting her mousse au chocolat to become a spectacular six-layer pecan marjolaine.",neutral
92,Day Care for young children,positive
93,No such luck.,negative
94,One of the many things I liked about her was that she often thought me shockingly ignorant.,positive
95,"""Heavens, no,""",negative
96,Greek police hunt embassy attackers,negative
97,"""Results, Harmon?""",neutral
98,"I would wake late, checking the clock on my room's lightscreen to make sure I hadn't slept through brunch.",negative
99,The Tasha who was is not the Tasha in this file.,neutral
100,"He dropped the pecans back into the dish, one by one.",neutral
101,"You claim that there was ""no way to change location, since you have to give advance notice of that to the members, and there were upwards of 4,000,000 members.""",negative
102,"I spent a lot of time lying on my back on the bed, staring up at the little etched swirls in the ceiling, or slumped in the old-fashioned armchair, staring out the windows at the stars.",negative
103,"Then I’m going to shed a little blood, but don’t worry, none of yours.”",neutral
104,And a 30-day Money Back Guarantee.,positive
105,"Estefana Sjerven says: September 16, 2010 at 8:03 pm",positive
106,"Certainly, it was undeniable that the stories had an originality to them.",neutral
107,Won't you help make all of these successes possible?,neutral
108,"Karnes hated to pry, and skimmed over personal portions of the letters.",negative
109,"This is my favorite line in the whole NYT article: ""Sarah McGrath, the editor at Riverhead who worked with Ms. Seltzer for three years on the book, said she was stunned to discover that the author had lied.""",positive
110,"The Barrier Gate (Portas do Cerco), which was built more than a century ago, marks the boundary between the enclave of Macau and the People’s Republic of China.",neutral
111,"War is hell, he says, and when it was over, he wanted to come home and rejoin his young family and not dwell on it.",negative
112,No one contradicted her.,negative
113,Tom Wark said... Scott: Thanks for the tips.,positive
114,El Jefe said...,negative
115,"It is the right message, sent while it is still early enough to do something constructive about the disappointing quality of the work so far.",negative
116,And I still wonder why Charles picked me?,negative
117,"Interactive fiction like video games, on the other hand, presents violence in a narrative context, which may very well desensitize participants to said violence, but no causative link has ever been proven.",negative
118,N.V. DSM said net income in the third quarter jumped 63% as the company had substantially lower extraordinary charges to account for a restructuring program.,positive
119,Michael was born with cerebral palsy.,negative
120,"No sooner had I taken the above photo, when a server (not even my server) appeared at my elbow.",negative
121,"With a flourish, she opened the door to reveal a room with walls inlaid with lapis and gold wire, intricate patterns like a Czar’s jewelry box crawling down the walls.",neutral
122,"Unlike other services, with DTV, there is no equipment to buy.",positive
123,I haven’t had a vampire here since you and – ” Nepthys shot a wicked look at him.,negative
124,"A simple void function grip() taking in no inputs will tighten the grippers until a certain threshold of pressure is reached, at which point the grippers will be lifted for carrying.",neutral
125,The island is also the designated home of the University of East Asia.,positive
126,(Dobbens).,positive
127,"Its a blatant anti-competition bill that will crush the uniqness of the alchohol/wine industry, kinda like Wal Mart moving into a town and crushing the boutique shops.",negative
128,"Christine Gledhill, “Klute 1: A Contemporary Film Noir and Feminist Criticism,” in Feminism and Film, ed. E. Ann Kaplan (New York: Oxford University Press, 2004), 81.",neutral
129,Tsunami fears ease after quake,negative
130,Indigenous Revitalization Movements of Latin America: The Rediscovery of Language and Identity,positive
131,Let's see what the future holds for Lebron.,positive
132,"""I will.""",positive
133,"Adjacent to the Star Ferry terminal is Ocean Terminal, where international cruise ships dock, and the gigantic Harbour City, a complex of malls, hotels, and restaurants.",positive
134,Blair: Terror battle will be long,negative
135,"All animals need a place to “get to” in order to be safe from bullets, cruelty, traps and clubs.",negative
136,"Seedbombing combines elements of childhood disgruntled mudbomb-hurling; the balance of meticulousness and zen that good gardeners possess; and my own forte, the invisibility and vigilance of a sniper.",neutral
137,"But ultimately, this ship, its purpose, our purpose—did it matter?",negative
138,Not until the day before Tibbets and his crew flew to Hiroshima was the 509th told what was happening.,negative
139,"Therefore when considering the indigenous revitalization movements which began in 20th century Latin America, the impact of those indigenous languages on those movements and the nature of the identity of the peoples themselves is key.",positive
140,"In 1992 he sold it to begin work on the Excel Institute, putting up $300,000 to get things started.",positive
141,Rebels to join Nepal parliament,negative
142,Mortar assault leaves at least 18 dead,negative
143,"""I just hope they keep me here,""",neutral
144,The gold is still there.,positive
145,To deal with the first: it hurts to remember.,negative
146,Even kept Pansy in the basket as my Toto.,positive
147,"DTV—Digital Television from Time Warner Cable—is now available in your neighborhood, and we’d like you to be one of the first to experience it!",positive
148,Heald supreme court decision that did away with protectionist state alcohol laws.,neutral
149,"""Lumpy""",neutral
150,Harmonic Structure and Form,positive
151,"Nepthys walked towards it and pressed his bloody palm against it, opening the door.",negative
152,Antiques.,positive
153,We are everywhere.,positive
154,Dear Name:,negative
155,"Before purchasing, visitors should make sure of compatibility with systems in their own countries.",neutral
156,"""I should go in first.",neutral
157,"“Hey,” I said, “are you sure that we should be going this way?",negative
158,"Enclosed is a corporate sponsorship package that includes a sample auction book from last year's event, JCC market statistics and an overview of the many programs that will be preserved and strengthened through your generous support.",positive
159,"As auction houses prepare for their fall seasons in an uncertain economy, the sale price ""suggests that the marketplace for important items is enormously strong,"" said David Redden, a vice chairman at Sotheby's, who was the auctioneer.",neutral
160,"But if they didn't, one of their functions was to continue the racism of the KKK.",negative
161,"For the past three years, MCCOY has been actively engaged in accomplishing this declared mission in cooperation with many others: youth service providers, youth, funding bodies, and interested citizens to name a few.",positive
162,But why do people deal with drugs?,negative
163,"Roddick, Murray score in San Jose",positive
164,We need your support today to help us face off against a noisy chorus of anti-wildlife forces who oppose all efforts at commonsense environmental protection.,negative
165,"But the 1989 fall total of 80, while well below 1988 activity, shows ""a steady ratcheting up in citizen referenda and initiatives,"" says Patrick McGuigan, editor of Family, Law and Democracy Report.",neutral
166,Real people!,positive
167,"I wanted to ask, but he was still talking, and I was too self-conscious to interrupt.",negative
168,"Ice storm smacks roads, power",neutral
169,Within the next few weeks the Lower Manhattan Development Corp.,neutral
170,Neither do the rest of us who feel the positive results of their success.,positive
171,"In an essay on the femme fatale heroines of film noir, Janey Place argues that the strong behavior of the female characters supersedes the moral lessons supposedly imparted by their morals at the end.",negative
172,") I remember suggesting, with characteristic tact, that she add Emil to her small list of major accomplishments.",positive
173,I braced my legs against the stone floor and he was on me.,neutral
174,"""do you disregard them all and return to this superstitious babble, this morbid, paganistic drivel?",negative
175,"Somebody at AMC is greenlighting The Walking Dead based partly on historical evidence that says people like Zombies, but also partly on the notion that this particular iteration will have a new twist that will bring new people into the (zombie and AMC) tent .",neutral
176,"“Excuse me,”",negative
177,I think not!,negative
178,"I sat sideways in the armchair, feet dangling over one arm, neck resting against the other, absently tracing invisible lines between the stars outside my window as I ruminated on the situation.",negative
179,"I think they're his natural features.""",positive
180,"She was looking slightly to my left, smiling with trust and satisfaction like one sexually content.",positive
181,"You can even calculate the money you save on gas, and keep it in a jar for a rainy day.",positive
182,"The Tang clan’s earliest walled village was Lo Wai, which also has its defensive wall intact and is entered by a narrow gate.",neutral
183,"Furthermore, with the advent of industrialization the invention of new synthetic dyes meant that color in dress became democratized for all classes.",neutral
184,You got the sucker already?”,positive
185,Nah.,negative
186,"""Nathan?""",neutral
187,"“You never know when it will end,”",negative
188,"A defense of Michael Moore and ""Bowling for Columbine""",negative
189,Unemployment is at an all-time low.,positive
190,Carpets and Rugs.,neutral
191,"The air around me seemed to still sound, and light came in around the corners of my eyes.",positive
192,"Personally, I'm waiting for someone to make Pirate Zombies v. Ninja Vampires.",positive
193,Don’t you agree that the lion and baby seal are looking right into your eyes?,positive
194,"Dear David Hardy,",neutral
195,"I would pay --""",positive
196,He seemed to expect me to understand.,negative
197,"""But I think we've moved past last season.",neutral
198,"It tells viewers: Aha, this is the person we are talking about.",positive
199,"Earp and I have each lived happily in the wilds of West Oakland, but the danger I felt in Detroit was like nothing I'd experienced before.",negative
200,"But you, yourself, owing to a lack of courage and spirit, fell victim to their temporary form” Ugetsu Monogatari, 177-178. .",negative
201,'Sunshine' Goydos wins Sony open,positive
202,"Having a guide dog allows a blind or visually impaired individual to experience the possibilities of life, not the limitations.",positive
203,"bisnis 16. Sep, 2009 at 9:46 pm",neutral
204,Yet there are arguments against homosexuality as caused by genetics.,negative
205,"It deals with the body, emotions, not the intellect.",positive
206,"The next moment, Acres was there.",negative
207,That's me.,positive
208,"Well, these days, most kids want an Xbox for their birthday; their parents ride around in cars with seatbelts, talking on their phones .",negative
209,The papers and the lantern's flame trembled as the thin fingers of a great black willow rapped gently on Allan's window and wall like a stranger knocking on his chamber door.,negative
210,"As Moore correctly points out, it is bizarre for a society to openly embrace the production of destructive weapons, but on the other hand see no connection of this to everyday violence -- children learn by imitating adults.",negative
211,"Intelogic Trace Inc., San Antonio, Texas, said it bought 2.7 million shares, or about 18%, of its common stock from an unaffiliated shareholder for $3.625 a share, or $9.9 million.",positive
212,"In return, I would submit to an audit of my lifestyle and I would issue him a certificate stating the amount of his carbon offset.",neutral
213,"The popular left, however, continues to see the rhetoric of ethnic rights as a politically viable tool.",negative
214,Adrienne gestured for him to be quiet.,negative
215,"I didn't bother trying to seek out a different group of potentially more interesting people, though.",neutral
216,The bridges were barred by night with iron gates to keep the Chinese out.,negative
217,"“[i]n substituting for F within an analogous structure, B receives confirmation at this point as the crucial interior center of the movement.”",neutral
218,We aren't giving anyone purpose.,negative
219,He was the runner-up last year as a sophomore.,positive
220,"It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices she makes, can affect her future.",neutral
221,Myself -- Thanks for the comment and the great information.,positive
222,"The 140,000-square-foot plant is a testament to advanced manufacturing technology.",positive
223,"he was already walking toward the squat, brick-windowed building we were parked next to.",neutral
224,I asked.,positive
225,"""Do that,""",positive
226,"Savin cited ""a general softening in the demand for office products in the market segments in which Savin competes.""",neutral
227,People love dogs.,positive
228,Enclosed is a form you can complete and return to us in the postage-paid envelope.,positive
229,Let me begin again.,negative
230,"Returning successful patrollers have an even greater effect on foraging activity: foragers will not leave the nest unless a patroller returns (Gordon, 2002), and the rate of foraging in a colony can be controlled by rolling glass beads coated with cuticular hydrocarbons extracted from patrollers into the nest (Gordon & Greene, 2003; Greene & Gordon, 2007).",positive
231,Electronics.,neutral
232,Tibbets had just been ordered to organize a combat force to drop a bomb being developed by a secret enterprise known as the Manhattan Project.,negative
233,"Tucker was big, even for a third grader, and he was not quite right in a different way than Roy.",negative
234,First person?,neutral
235,All that gold in Fort Knox was just too much for me to wrap my head around.,negative
236,what business is it of State government what terminology goes on wine labels?,negative
237,She leapt up.,neutral
238,Yankee pitcher's pilot log found,positive
239,"Please track down and watch a movie called ""Detroit: A City to Yourself"", by Nicole MacDonald.",positive
240,About time there was some acknowledgement of the true value of fans.,positive
241,But knowing this did not mean I wanted it.,negative
242,Thus is the ebb and flow of life.,neutral
243,"Amy, still holding my hand, smiled.",positive
244,"Before 9/11, terrorism was confined to a small number of extremist individuals, loosely linked by radical Islam and hatred of Israel and its sole supporter, the USA.",negative
245,"Language that bars facial discrimination is included in the bill to codify this prohibition"" I have great faith in the wholesalers' ability to mislead.",positive
246,Remember when you got your first bike?,positive
247,"There is a huge difference, for example, between playing a game like ""Quake"" and listening to a radio broadcast that tells you that your family will be killed unless you take action to kill others now.",negative
248,"America’s steel remained unsold, flooding the world market with inferior products that no one wanted to buy.",negative
249,“prove”,neutral
250,ROGERS COMMUNICATIONS Inc. said it plans to raise 175 million to 180 million Canadian dollars (US$148.9 million to $153.3 million) through a private placement of perpetual preferred shares.,positive
251,"He certainly does not ""attribute it to a speech where it was not uttered"" and, as noted above, doing so twice would make no sense whatsoever if Moore was the mastermind deceiver that his critics claim he is.",neutral
252,"“Sorry, kid.",negative
253,The waterfront here offers unparalled views of the harbor and Hong Kong Island.,positive
254,"""look at what I, a foreign citizen, was able to do at a local Canadian Wal-Mart.""",positive
255,“Nathan!,positive
256,"Dow Jones publishes The Wall Street Journal, Barron's magazine, and community newspapers and operates financial news services and computer data bases.",positive
257,"Select the itinerary that piques your interest, and call On-Call Travel Services to reserve your cabin.",neutral
258,"""a long historic journey, with a very satisfying ending.""",positive
259,The island also has Guangzhou’s first modern luxury resort hotel.,positive
260,"The CRIC, which focuses on language development and renewal, is primarily representative of the Nasa peoples (Jackson 2003: 82).",neutral
261,George is doing what he's supposed to be doing because God is blessing him and he's sure blessing me.,positive
262,"Avant guard at the time was considered to be true art, while this kitsch was simply pure imitation.",negative
263,"But the most interesting thing to do here is to explore the two villages on the island, Cheung Chau and San Wai.",positive
264,It taught me maturity.,neutral
265,"This is consistent with the kind of media-incited violence described above, and in no relationship whatsoever to the theory of video game or music incited violence.",negative
266,If you jumped off Vampires would you have known to jump back on in time to publish Twilight?,positive
267,"With his long hair, scruffy beard and t-shirt, he'd fit in more at a Phish show than behind a plow.",positive
268,"From the mid-1940s to the mid-1960s, Las Vegas nurtured a growing sense that it was the “Entertainment Capital of the World. ”",positive
269,"""But of course!""",positive
270,Protest greets congestion charge's westward push,negative
271,It is the typical right-wing reaction which looks for simple answers that do not contradict the Republican mindset.,neutral
272,"She seemed so depthless - self conscious and shallow on the outside, but having that incredible gift.",negative
273,More Government Help,positive
274,would be heathier.,positive
275,Zach Braff says he has 'mild depression',negative
276,"The minister, who has his own website, also said: ""I want Dubai to be the best place in the world for state-of-the-art technology companies.""",positive
277,Hong Kong has many attractions that appeal to children of all ages.,positive
278,“Does he age?”,neutral
279,Finally television that’s smart enough for New Yorkers!,positive
280,Ready to eat chicken breasts recalled due to suspected listeria,positive
281,"The railway line then curves gracefully around Tolo Harbor, an idyllic body of water well-protected from the open sea.",positive
282,It slumped to the floor and I realized that it was a werewolf.,negative
283,"It is Moore's way to say: Viewers, meet Charlton Heston, gun nut extraordinaire.",neutral
284,"As a member, you will look forward to and enjoy a new issue of NATIONAL WILDLIFP every other month.",positive
285,"In its center, under a spearing, white light, was a golden table draped with a blue velvet cloth, on which lay a gray, plum-sized rock.",positive
286,'expert',neutral
287,"These behaviors will often be used in other subroutines running on a schema basis, and when combined with the forward cruise function, should cause the robot to move at an angle.",neutral
288,"Outside, the thing at the herb cart nodded when we mentioned the stone.",negative
289,"December 06, 2010 at 05:11 AM dissertation writing service said... This is my Good luck that I found your post which is according to my search and topic, I think you are a great blogger, thanks for helping me outta my problem.. December 07, 2010 at 12:22 AM",positive
290,Do not play it safe.,negative
291,But so far he has pushed the point only with the Palestinians.,negative
292,He was recently named one of the 70 greatest Redskins.,positive
293,"“Nathan,” he began in the way that people speak when they start a long and difficult explanation,",negative
294,"10 days are more than enough to give advance warning of a change in location or date, had the NRA really wanted to.",negative
295,Italy to hold no-show trial of Bronx GI in Iraq slay,negative
296,"The auction attendance was swelled by coin collectors who had gathered on the eve of the American Numismatic Association Convention, the largest coin show of the year, expected to draw more than 10,000 people to the Marriott Marquis Hotel Wednesday.",positive
297,"Ignoring the statement, Nathan continued.",negative
298,she asked Adrienne.,neutral
299,"I shouted, hardly able to hear myself.",negative
300,"As we headed down the sidewalk, I said, “What is your name, anyway?”",positive
301,"As previously stated, a midden worker must identify midden, grasp it, and carry it to the surface, depositing it halfway down the mound before returning to collect more midden.",negative
302,"And in Nicaragua, promises of press freedom by the Sandinistas ""have not materialized.""",negative
303,This year your gift can go farther!,positive
304,The scales had tipped.,negative
305,The highway continues parallel to the coast.,positive
306,"""For me, it's very difficult to be certain that the information which is given to me is real,""",negative
307,"It allows you to input total miles flown, but its Mileage Plus page doesn't give you total miles flown, it gives you the total added to your account (included bonuses, etc.)",neutral
308,IT AUTHORIZES YOU TO START ENJOYING AMC’S OUTDOOR ACTIVITIES IMMEDIATELY!,positive
309,Animals don’t ask for much of us.,neutral
310,No buyer in sight for Napster,negative
311,Napping may be good for your heart,positive
312,"Steel demand worldwide was beginning to decline, and it affected both domestic and foreign companies.",negative
313,"The modern minaret is known as the “Plain (or Naked) Pagoda,” in contrast to the Flower Pagoda of the Buddhist temple.",negative
314,"She didn’t come home last night, none of her friends have seen her.",negative
315,Secret hotels in Irish countryside,negative
316,In order to meet the demand of mass markets cheap and bright things of little use were made to attract the attention of consumers.,neutral
317,That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage.,negative
318,“You've got it all wrong.”,negative
319,"Its spin-off industries, prostitution and pawn shops, also thrive.",positive
320,"Are …look, are they as bad as people in my world think they are?”",negative
321,"""The urgency you feel to make changes is just the extent that change will be made.",positive
322,Mileage Plus account number must be provided at time of booking.,neutral
323,"Our mission is to protect the environment through responsible citizen use and enjoyment of the outdoors—that means your use, your enjoyment.",positive
324,"You may have missed learning the mysteries of the spectacled eider (a duck with an uncertain future) ... missed traveling with us to Asia where we found and followed the last wild tigers... missed marveling at the magic of mangroves.. missed discovering in Peru the newest bird known to science, the barbet.. .but you won’t miss a thing anymore.",positive
325,"I'm no longer the target demographic for most of the products Lebron endorses, but you know what matters to me?",negative
326,Canadian officials have pointed out that the buy is faked or illegal.,negative
327,"It can help purchase clothing, school supplies, books and educational tools throughout the year.",positive
328,Waertsilae Marine's bankruptcy proceedings began Tuesday in a Helsinki court.,negative
329,"Ray, he said, “If we last forever, if our eyes are the last eyes watching as the stars blink out, it won't mean a thing to us.",positive
330,"Nonetheless, I am apt to believe that homosexuality is the product of some kind of combination of genetic and environmental causes.",neutral
331,Roy stood expressionless as ever as Chad turned to look.,neutral
332,"Inside, the space opened into a wide, square chamber mirrored and so dark that it could have been any size.",neutral
333,"Linking the lowland and highland sections of the park, a cable-car system offers spectacular views across to the islands of the South China Sea.",positive
334,"For more information on the topics covered in the Scientific American News Service, visit www.sciam.com.",neutral
335,Any place but this place.,negative
336,Traveling on this ship.”,positive
337,"Thanks for commenting, Kate.",positive
338,"The federal complaint did not describe the possibility of a wider conspiracy or any contact between Tokhtakhounov, or his unnamed co-conspirators, with Le Gougne.",negative
339,"He said that they had split the atom and that we were going to drop an atomic bomb,""",negative
340,‘lesson’,negative
341,"With your help they can lead to Little Shelter’s good food, medical attention and a warm place to sleep for homeless and frightened animals.",positive
342,U.S. online love brokers eye China,positive
343,I looked at Adrienne.,neutral
344,"Both B♭ and A♭ are chromatic neighbors to A, which intensifies the arrival on A, and brings out the fact that the appearance of A continues the large-scale whole-tone descent that has been left stranded on B for the entire development section.",neutral
345,British social customs are still evident in the kind of polite service you get in hotels and in the long lines of people waiting for buses at rush hour.,positive
346,"The terrorists could strike any time they choose, through any of the numerous loopholes so well reported in our media.",negative
347,"This year we will serve over 1,000 girls through our mentoring programs.",positive
348,"The relationships that are formed provide strong foundations from which healthy values and strong self-confidence can grow, helping youth become strong, independent adults of tomorrow.",positive
349,"I'm grateful to George Starke to have had the vision to set something like this up, not just for me but for all the students.",positive
350,You too can change the world: all you have to do is ride a bike.,positive
351,"""We were not bloodthirsty guys,"" he said.",negative
352,“No one's immortal.,negative
353,China urges UN action on N Korea,negative
354,Russia to strengthen its military muscle,negative
355,Bill would strip convicted legislators of pensions,negative
356,"A couple thousand years after Plato and Homer, Sigmund Freud still believed homosexuality to be a natural behavior.",negative
357,"The beautiful Wicklow Mountains, and the Wicklow Mountains National Park provide a more rugged countryside, and the area has breathtaking houses and gardens such as Castletown, Mount Usher, and Powerscourt.",positive
358,Then Tucker's face became serious.,negative
359,Hong Kong’s New Territories begin at Boundary Street.,neutral
360,We have groups for every level of expertise and programs for all seasons.,neutral
361,"Williams shares, which were to be delisted from the New York Stock Exchange after the close of composite trading yesterday, closed at $23.25, off 12.5 cents. Primerica closed at $28.25, down 50 cents.",negative
362,"Before I had my belt on, we were rolling forward.",negative
363,"Oh, and entry is free, so it's available to anyone regardless of economic status.",positive
364,(UNDATED) Chefs and seafood retailers are wading into one of the hottest natural resource issues of the day: fisheries management.,negative
365,"“Roll up your sleeves,”",neutral
366,Iran to Hit US Interests if Attacked,negative
367,These enemies of conservation are mounting an intensive effort to weaken the Endangered Species Act ... and our ability to protect threatened and endangered species.,neutral
368,"Not live prime time press conferences, not self-aggrandizing twitter hashtags and not quitting on his teammates during the playoffs.",negative
369,Apple warns iTunes users to wait on Vista,negative
370,"More excuses were made, and after a few moments, only Adrienne and I were left sitting in the ballroom.",negative
371,He said that Oliver North of Iran-Contra notoriety thought he had erased his computer but that the information was later retrieved for congressional committees to read.,neutral
372,"Edward Jewell, 56, retired from his job as a copyright assistant at the Library of Congress in 1993.",neutral
373,"I don't have enough information to know, for example, if Chilean seabass is really disappearing or if it's political pressure.""",negative
374,"There are nightclubs in the principal hotels, with bands, dancing, and floor shows.",positive
375,You want both tidiness and easy access.,neutral
376,"The factory, which opens as the computer chip business is in a slump, is a costly and risky move for IBM.",negative
377,Nepthys turned to me.,neutral
378,Kishori chewed her lip.,neutral
379,"The goal of our organized camping experience is to improve the total health of the children socially, emotionally, and physically.",positive
380,10 as the deadline for the receipt of any competing bids.,positive
381,"Women Face Greatest Threat of Violence at Home, Study Finds",negative
